"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_12H_DN","GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_12H_DN",136,0.344377199491766,2.05227622213754,4.66617919672025e-06,0.00691126915546485,0.00614685447521562,4399,"tags=46%, list=27%, signal=34%","MAML2/FOXP1/SYNE1/JAKMIP1/SNX29/ZBTB20/PLCB2/CD72/MTSS1/SSBP2/WLS/NSG2/RNF32/RAPGEF4/ST6GAL1/FOXJ2/IGFBP4/TECPR1/PHF21A/HDAC7/SIDT1/BACH2/ARL5C/TRPM1/ZNRF3/RASGRP1/CEP68/TIMP2/TCF20/TTC28/MBP/TET1/IGF1R/CD55/ABCA1/ZNRF1/LRRC23/PNPLA7/TGFBR3/RPL19/RAB3IP/IKBKE/RNF167/TRAT1/ZHX2/KBTBD11/TANC1/TET3/ANGEL1/LEF1/ACSS1/LRP6/MPPE1/PLEKHA1/SCML4/SUN2/USP24/TTC3/MBD5/LDHB/SLC16A5/SLC43A2/HSD17B8"
"GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP","GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP",169,0.324630587342599,1.98781234556616,4.11316134507391e-06,0.00691126915546485,0.00614685447521562,3352,"tags=38%, list=21%, signal=30%","MAML2/WWOX/LPP/ZBTB20/KLF12/PRKAG2/CLASP2/NBEA/GMDS/TAF3/ARHGAP15/TNIK/GPATCH2/FUCA2/NAGA/FBXW7/DTD1/TECPR1/STX8/PCCA/PRKCA/CIRBP/ADK/ATP10A/FBXL17/BTRC/SLC39A11/ATXN7L1/PRKCQ/RNGTT/RASGRF2/SAMHD1/TRERF1/DDX10/ITFG1/SCFD2/FARSB/UBASH3B/MSRA/FARS2/SLC9A9/DDX19B/KDM4A/VWA8/PRKCB/POLR3B/PCNT/PCSK5/PEX10/PDIA5/MLXIP/ZNF407/PDSS2/FCHSD2/TMEM135/TBC1D5/RHNO1/DPYD/FUT8/UCP2/MDN1/MPRIP/DHX33/DOCK2"
"GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP","GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP",168,0.324189699341854,1.98413085331129,4.59705188978985e-06,0.00691126915546485,0.00614685447521562,6063,"tags=55%, list=37%, signal=35%","IQGAP2/FOXP1/ELMO1/GAS7/GZMM/IL27RA/NCK2/PIK3IP1/SAMD3/LRCH3/HS3ST3B1/NSG2/AGPAT3/FCGR2B/RNF32/RAPGEF4/FBXW7/KLHL6/ARL4C/SLAMF6/PHF21A/RAP1GAP2/LAIR1/DMRTA1/GGT1/ADK/BACH2/ARL5C/WDR4/SMAD4/PRKCQ/ZC3H12D/BTLA/VAV3/TCF20/CD9/SCFD2/FRRS1/CD55/FAS/EPS15L1/RCSD1/PRKCB/ST3GAL1/DGKA/IKBKE/SNX4/NRM/ATP10D/KBTBD11/HSD11B1/NAT10/MDN1/DOCK2/LEF1/RXRA/ELK4/SCML4/S1PR1/CD247/ELOVL7/DEF6/SGMS1/CD44/TXK/HDAC10/MAPK11/CDC14B/LPIN1/ZSWIM6/TPM4/TTC7B/ARHGAP26/PIK3R1/CD84/FAM53B/ACTN1/GRAMD4/CD7/CX3CR1/ARHGAP1/CD2AP/ATP2B1/F2RL2/B3GNT2/AS3MT/DAPL1/TNFSF8/WWP1/HAAO/AQP9/SLC11A2/TIRAP"
"GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_UP","GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_UP",175,0.315722748374593,1.94213633679413,6.25611116932365e-06,0.00691126915546485,0.00614685447521562,4332,"tags=44%, list=27%, signal=33%","FOXN3/FRMD6/PITPNC1/IFITM2/ARHGEF10/ZBTB20/ACVR1B/WLS/MGST2/HS3ST3B1/KIAA0040/IFITM5/ST6GAL1/FOXJ2/IGFBP4/FKBP15/ARL4C/PACS2/SH3PXD2A/SPRY1/SYK/SMAD4/ENDOV/MVD/MYO10/BTLA/STAMBPL1/VAV3/ESR1/LIMD1/NFIA/AMPD3/FOS/MLLT3/TET1/CDON/SMOX/CCDC88C/KMT2E/ATP13A2/UBXN11/TEF/ST3GAL1/TRIM56/PARD6G/SYCP2L/USH1C/IKBKE/SUN1/ANXA5/TRAT1/SFSWAP/RTF1/ATP10D/KBTBD11/LAPTM4A/CPEB2/CD40/TANC1/LEF1/GATA3/LHFPL3/TTC21B/ZNF503/DAP/CCSER2/S1PR1/PARM1/GGACT/DOCK4/SLC30A10/STAC3/GSAP/SEMA4A/MAPK11/USF2/UBN2"
"GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_DN","GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_DN",182,0.310412831090342,1.92058965538045,6.80913217287178e-06,0.00691126915546485,0.00614685447521562,6737,"tags=59%, list=41%, signal=35%","FHIT/PRKCE/ALDH1B1/SYNE1/CREBBP/APBB1IP/ZBTB20/GPRC5A/KLF12/NCK2/WLS/KCTD18/IRF7/G0S2/BCL11B/FCGR2B/PTTG1/AFMID/SLAMF6/PRKCA/L3MBTL3/CEP164/HIVEP2/BACH2/ABCG1/ZER1/KANSL1L/ESYT2/YAP1/AGO4/SUSD1/CAMK2D/CNRIP1/FOS/MLLT3/TET1/NOXO1/TRIP4/ABCA1/NOSTRIN/TMTC1/MYBPHL/CPNE5/KDM7A/USP17L2/IQSEC3/EPAS1/RAB12/ATP10D/CPEB2/KLHL29/SLC38A9/PHACTR3/LEF1/ACSS1/B3GNT5/LYST/TFPI2/S1PR1/PLVAP/SPO11/ELOVL7/GSAP/PLCB4/GNB5/GLUL/TRPS1/XDH/BAZ2A/UPB1/TMEM14A/CRHR1/ARHGEF18/TSKS/PHYHIPL/KRTAP11-1/PTGS1/CPNE7/FBXO32/PSD2/TTC12/P2RX4/CX3CR1/OXR1/TCP11L2/RFX5/ZYG11B/AS3MT/SMARCD3/NRCAM/RSAD2/IFIT1/PTPDC1/WFIKKN2/RBM11/CITED2/RBAK/PDE5A/AKAP5/TSPAN32/MSR1/ATXN7/FOXO3/KCNIP3/CARNS1/ICA1L/APOE/ANKRD50"
"GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_BCELL_UP","GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_BCELL_UP",147,0.324677826690309,1.95359251627824,8.26694543544129e-06,0.00699245801414409,0.00621906351353899,4331,"tags=45%, list=27%, signal=34%","MAML2/FOXP1/KCNQ1/UNC13C/TENM4/PPP2R2C/SYT1/CTNND2/MARVELD2/FCGBP/CTTNBP2NL/RBPJ/ZFHX3/SLC4A8/BCL11B/EBF2/VEGFC/ATXN1/RPA1/ARL4C/THSD7A/PDPN/PLK2/ENDOV/FHDC1/GLCCI1/TRIML1/BCL2/TSC22D1/C2orf83/CIITA/FSTL4/LRP2/TTYH2/FARS2/GOLGA7B/SLC9A9/DGKI/ZNF473/GOLGA7B/MLH1/DENND5A/CCDC7/PPP1R17/FBXO16/GNRH1/TES/ATP10B/ITGA2/C14orf132/VTN/ITCH/PDE3B/EIF4E3/LYST/SEL1L3/DAOA/IL19/ERG/CERS3/CTDSPL/ZNF670/DNTT/FOXG1/C5orf47/KANK2/LPIN1"
"GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN","GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN",167,0.316043930347281,1.93336965960287,1.04899428068214e-05,0.0076052085349455,0.00676404131663911,6042,"tags=56%, list=37%, signal=36%","AFAP1/GFRA1/IFITM2/PLCB2/TMEM67/RAB11FIP4/SAMD3/CBLB/MBOAT1/ST6GAL1/PPFIBP2/SLAMF6/VGLL4/UBASH3A/CDC14A/LIMK1/HIVEP2/TIAM1/RBL1/PRKCQ/VIPR2/IL17RB/MIDN/TMEM63C/GRAMD1B/BTLA/TIMP2/TNFSF11/VAV3/ASB2/ADAMTS6/RTP4/VPS37B/MTBP/RBM38/ITPR1/EHD3/CDON/ABTB2/MINK1/USP18/JARID2/PPP3CC/SUSD2/TMPRSS11E/SBK2/IKBKE/PAFAH1B3/EPAS1/ZHX2/ABCG2/P2RX7/IMMP2L/TNIP1/RXRA/SESN3/TTN/ITGB1/AHR/SH3GL3/CD83/TTC8/TRIB1/TTC3/GSAP/SEMA4A/PODNL1/TXK/DCLK2/RNF19A/PDE4B/ITPKB/IPCEF1/NF1/ARHGAP26/ENDOD1/PLSCR1/SEMA6D/MAX/AAK1/CD28/PRKCH/MCTP1/RFX5/IL5/GALNT9/IVD/GALNT10/TNFSF8/ITGAE/RRAS2/RNF43/SLC11A2/IKZF1"
"GSE7852_TREG_VS_TCONV_LN_DN","GSE7852_TREG_VS_TCONV_LN_DN",177,0.306600628224461,1.88950972972954,2.4992955391636e-05,0.0140932498458392,0.012534478680624,6197,"tags=54%, list=38%, signal=34%","PSD3/PLXNA4/SYNE1/CELF4/PIK3IP1/ADAMTS16/EMID1/SGK1/LSS/HS3ST3B1/MBOAT1/G0S2/RNF32/RAPGEF4/KRT76/TMEM9B/L3MBTL3/CRTAM/GGT1/DUSP10/PPT2/LRTM2/ITK/MYO10/LBP/BTLA/CERS6/SUSD1/TTYH3/SATB1/RGCC/SPTBN1/ITPR1/EHD3/AP3B2/SPICE1/MCTP2/IFITM10/CNN3/KCNK12/NUMB/SLC26A11/TGFBR3/ST3GAL1/GABRR2/MFHAS1/SLC5A11/APP/EPAS1/RAMP3/UBE2J1/PEX6/PDE3B/THEMIS/LYST/GUCD1/TEC/SMTNL2/BCL2L14/DAP/SCML4/S1PR1/PARM1/AMIGO2/ELOVL7/DNTT/ABHD15/HSD3B2/SEMA4A/FOXK1/TREM2/SLC16A5/ARL5B/ACTN1/MAX/SMAP2/ENC1/GABRP/RYR1/AFP/NTRK3/RAP2B/CHD7/FNTB/C1orf21/EPB41L1/DAPL1/SLC12A7/MN1/ARHGAP29/CSNK1E/GNMT/ENTPD5/IKZF1/CDPF1/SGSH/TAGLN2"
"HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_NEGATIVE","HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_NEGATIVE",371,0.250574599663178,1.65026050011293,2.41552115631033e-05,0.0140932498458392,0.012534478680624,5727,"tags=45%, list=35%, signal=30%","KCNQ1/GLIS3/SNX29/GAS7/PLXDC2/ACO2/DACH1/CAMK1D/NCOR2/SAMD1/LENG9/XXYLT1/S1PR3/CREB5/NRP1/WLS/GANC/CEBPB/OPN3/CRISPLD2/G0S2/NUBP1/WDFY4/SLC30A1/TECPR1/MICAL2/LILRA4/SH3BP4/AZU1/RIN3/SYK/PLEKHM3/RNPEP/TMTC2/CHML/CUX2/GNL2/MAN2A1/SCT/BNIP3L/NFIC/CADM4/TBC1D9/MAML3/GRAMD1B/KLF10/SPRED2/SETD7/CERS6/PANX2/EIF2AK2/SCN9A/CIITA/AP3B1/FRRS1/ALDH2/PGAM2/ZNF496/TBC1D14/JAG1/FUT4/NETO2/GNA11/TRIO/MPP7/TMEM144/TM9SF2/TRAM2/SERTAD2/PAPLN/ZNF511/MOB1A/ADAM17/PIK3CB/TUBGCP3/DYSF/KIAA1958/DENND5A/TMTC1/RELB/ZNF703/GNA15/KLF4/MKNK2/MLXIP/LDLRAD3/ARID3A/FAAH/IDH3A/APP/FCHSD2/ZDHHC7/ZNF844/BACH1/CLEC6A/TET3/TNFRSF21/PSMB7/RRAGC/BRI3BP/GRIK5/CLEC4C/MTMR14/ZNF503/CLDN23/MAP1LC3B2/OGFRL1/PLEK/NAB2/DOCK4/EIF4E2/GAB2/POM121/SYS1-DBNDD2/UGCG/HLA-DMA/NRROS/TIFAB/MAPK6/SFT2D2/GPR157/ASAH1/SGK3/LRRK1/FAM168A/INCENP/SLC16A5/ST6GALNAC3/PISD/PIAS4/MACF1/PPM1J/ARHGAP24/ZNF768/YPEL2/ZMIZ1/DERA/SDCBP/PLAGL1/IFT20/SMAP2/TMEM170B/SMARCB1/N4BP2/TMEM183A/KLF7/CDC42EP1/LTA4H/SLC2A9/PLBD1/NUDT3/PPTC7/NINJ1/LGALS8/LIN7A/CHPT1/PIP5K1B/TTC7A/NEU3/CDC40/ANO8/SMARCD3/ATP6V0B/UGGT2/LRG1/RNASEK/RARA/CD300C/TSPAN16"
"GSE14415_INDUCED_TREG_VS_TCONV_DN","GSE14415_INDUCED_TREG_VS_TCONV_DN",145,0.316486209494398,1.89983389742144,4.46202127682067e-05,0.0226447579798649,0.0201401549842179,5506,"tags=50%, list=34%, signal=34%","MAML2/FOXP1/JAKMIP1/SNX29/PITPNC1/ZBTB20/CD72/IL27RA/NRP1/SMIM12/SAMD3/HS3ST3B1/GABARAPL2/SMAD3/SLCO3A1/FOXJ2/PHF21A/SIDT1/L3MBTL3/CRTAM/RPTOR/PLEKHM3/CEP164/DMRTA1/IQSEC1/TNRC6C/PPM1H/RASGRP1/CCDC125/CRIM1/ADAMTS6/HPCAL1/CD55/PNPLA7/PPP3CC/SMPDL3A/RPL19/SPRY2/NARS2/KDM7A/RNF167/RAP2A/ACTR6/TRAT1/KBTBD11/PEX6/AXIN2/ACSS1/B3GNT5/MPPE1/CHMP1B/CD247/ELOVL7/ADRB2/SGMS1/BBS2/MBD5/PUS3/ST6GALNAC3/HSD17B8/PRRG4/USE1/YPEL5/ATP6V1G3/GGPS1/FBXO32/KLF7/MYO3B/TCP11L2/KCNJ8/TBRG1/F2RL2/AS3MT"
"GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN","GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN",178,0.295212517783771,1.8225477108543,5.41615271953258e-05,0.0249881591378435,0.0222243663745031,7678,"tags=65%, list=47%, signal=35%","LDLRAD4/NEUROG3/SET/MTUS2/GPR176/ZCCHC24/DCLK1/SGPP2/RUSC2/EMID1/DAB1/HCN1/CDH22/NDUFV3/CUX2/DAW1/CARD10/HSBP1L1/NLGN1/SCRT2/TNNI1/JPH3/CAV3/PROZ/TMEM175/ALOX12B/IL10/SLC7A7/ATXN7L2/CPPED1/AMH/TFF3/CRB3/CREB3L3/PON1/PITX1/HSPA12B/BMP7/FOXF2/SLC12A3/SSC5D/COL19A1/USP2/CCR8/SIGLEC7/KLK5/SH3RF1/TFCP2L1/IGSF9/XCL1/CAMKV/SPTB/TMEM171/RASSF7/EXOC5/ANGPTL2/GATM/MS4A18/CSDC2/TCF15/MORN4/OC90/TRPV4/NDUFA4L2/SEMA4A/GPR35/CDKL1/SLC2A12/NF1/PIK3R6/SPATA9/LHFPL4/RCE1/RGS17/HNRNPC/CFI/PLAG1/MC2R/XRCC2/AP2M1/JUND/MYCN/NOTCH3/OC90/OR51B2/MYL4/MOB3B/NRGN/GAL3ST1/FSTL3/CLEC3B/ENTHD1/S100A8/CLSTN3/ZMYND15/RHCG/UPK3B/AQP7/PLEKHA7/FAM83E/CYP2U1/B4GALT2/SLC6A18/CRYBB2/TNFRSF14/KLRG2/CLIC6/NKX6-1/PAX7/NRIP2/CHAC1/DOCK3/AKR1B15/ITGB7/TNFRSF4/ZNF462/PSMD14"
"GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP","GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP",176,0.297100163540521,1.82873478291021,6.93762578782546e-05,0.0293403757276785,0.0260952099808733,5504,"tags=49%, list=34%, signal=33%","CSMD1/NAALADL2/NTM/CNTN3/SLIT2/SEC14L5/IRS1/VEGFC/THBS2/GCNT3/MYOCD/DBX1/FRMD5/SARM1/GJD2/KRT4/FAT3/ADAM28/KCNU1/NLGN1/RHO/KCNC2/KRT79/IAPP/CEP112/SFMBT2/BAALC/PTPN22/MNX1/HNF1B/UROC1/ZNF841/CLRN3/PLA2G4D/TPRG1/PLA2G6/SLC15A5/FBXL7/SOX1/PCDH15/DDO/DRGX/SCGB3A1/VANGL2/ARPP21/C11orf87/SLC18A1/FOXF1/CPEB1/TSPAN8/DDAH1/EXOC3L2/FGF14/KL/TLE4/NUP155/SLC38A4/AVPR1A/SH3GL3/CDHR4/HOGA1/ANG/GALNT3/LINGO3/UNC79/PSMF1/PRRG4/TRHDE/GPR62/MKRN3/SLC29A4/CRHR1/CER1/ABCA6/VWC2/KCND2/CD28/REG4/HIF1A/DMC1/SUCO/MOXD1/CLMN/GRIA2/FSTL5/SPOCK1"
"GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_DN","GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_DN",163,0.298589126181332,1.82275820368857,8.96811073833323e-05,0.0350101246131086,0.0311378614137432,7029,"tags=60%, list=43%, signal=35%","STK32B/PSD3/FHIT/SNX29/CREBBP/CAMK1D/POU2AF1/MTSS1/KCNN3/KIAA1671/F2RL3/ZNF423/TCF3/INO80C/IQSEC1/PAX5/TNRC6C/CMTM7/PDE10A/NKX6-3/ABLIM1/PPP1R18/TFIP11/MYLK/USP34/HPS4/SLC9A9/PPFIA4/ZNF75A/COL5A1/WFS1/DTX1/MLXIP/GRK5/ARPP21/ZHX2/LHPP/MT1X/SHANK3/OR6A2/LEF1/NRN1/ACSS1/ZFP36L1/APCDD1/AK1/GRIK5/SESN3/ERG/CD27/NCLN/MYOM2/GADD45A/TAPT1/KANK2/TMPRSS2/RAG1/ID3/UPB1/FAM53B/GET4/RAG2/EMP2/GPR39/KCNA3/PRKCH/CLIP3/AKAP12/PLCG1/HSDL1/TCP11L2/CDK9/CHD7/FOXO1/TTC7A/MTG2/NAV1/DBN1/LAPTM5/CSH1/STAG3/ELMOD1/NRIP1/EDEM1/DSEL/SYNE3/ABTB1/HMCES/ISG20/SOD2/NOTCH4/CD19/CD79B/SNX25/CSGALNACT1/TCL1B/CDCA7L/GFOD1"
"GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP","GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP",135,0.319334514918469,1.90243590403185,0.000107729917251396,0.0364486220033892,0.032417255099929,5760,"tags=54%, list=35%, signal=35%","FOXP1/SYNE1/SNX29/IL27RA/ARHGAP15/SSBP2/NSG2/ZXDC/RAPGEF4/ST6GAL1/FOXJ2/TECPR1/PHF21A/HDAC7/SIDT1/L3MBTL3/NLRC5/IQSEC1/TNRC6C/PPM1H/RASGRP1/SPRED2/CEP68/TIMP2/ADCY7/CRIM1/TCF20/ADAMTS6/TET1/CD55/LRRC23/PNPLA7/TGFBR3/RPL19/RAB3IP/MFHAS1/IKBKE/RNF167/TRAT1/ZHX2/KBTBD11/TANC1/DPP4/GRK1/LEF1/LRP6/MPPE1/PLEKHA1/SCML4/ELOVL7/USP24/HDAC4/TTC3/ASH1L/MBD5/FAM168A/LDHB/PUS3/SLC43A2/INPP4B/PDK1/SELE/FBXO32/AFP/TCP11L2/MYC/FOXO1/FNTB/DAPL1/TNFSF8/SLC12A7/THUMPD2/ITGAE"
"GSE22432_CDC_VS_COMMON_DC_PROGENITOR_UP","GSE22432_CDC_VS_COMMON_DC_PROGENITOR_UP",170,0.297598788089102,1.82248766893923,0.000106601865652085,0.0364486220033892,0.032417255099929,3040,"tags=33%, list=19%, signal=27%","PSD3/SYNE1/COL23A1/SNX29/CAMK1D/POU2AF1/CDC42EP3/TNK2/CYTH4/EMID1/ARHGAP18/ARHGAP15/MGST2/KIDINS220/MBNL1/KLHL14/KLHL6/INPP5D/INSR/SH3PXD2A/RTN4/RIN3/BIRC3/NEDD9/RELL1/MXD4/SP4/LSP1/MTMR6/TBC1D9/TSHZ1/ZNF821/FAM107B/COTL1/TBXA2R/CNST/CIITA/RAB39A/ALDH2/TBC1D14/SMG1/ARHGAP25/TFEB/CDH17/CNKSR3/ANTXR2/RCSD1/KCNAB2/BLNK/SMPDL3A/GNA15/UBLCP1/CPNE5/LGMN/SSBP3/NRM/MGST1"
"GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",149,0.302411646236847,1.82229234363849,0.000119032666996162,0.0367567542827828,0.0326913066869739,4632,"tags=43%, list=28%, signal=31%","IQGAP2/ITGA9/TENM4/CREBBP/CLNK/STRBP/PADI2/ANKRD44/NRP1/CDK14/MBOAT1/KIDINS220/ST6GAL1/PRR5/DEPDC5/KLHL6/IFNGR1/CSF3R/RYR2/SLC2A3/CCDC102A/PLAUR/HIVEP2/DUSP10/RASGRP1/BTLA/THRB/VAMP5/SAMHD1/TRERF1/ABLIM1/TNRC6B/P2RY14/MCTP2/CDH17/RNF145/MFSD8/CRIP1/CRIP1/TLN1/SLC8A1/RNF167/MEIS3/SPIRE1/SNX8/LGMN/PRKD2/DPP4/TNFRSF21/ITSN2/SPNS3/FCRL5/DNMBP/SLC28A2/MAST4/MMP9/LCP2/KIF21B/RHOH/HDAC10/MAPK11/DDX17/SLC35A5/MKI67/AP1S3"
"GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_UP","GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_UP",179,0.288452176127042,1.78058361265619,0.000128101558114849,0.0367567542827828,0.0326913066869739,4283,"tags=40%, list=26%, signal=30%","HDAC9/BUB1B/RAB31/CCSER1/RBM47/ELMO1/WDR86/CDC42EP3/ALDH16A1/CD72/RBPJ/SLC4A8/EEPD1/NCF4/TUSC1/CHD9/SASH1/RAP1GAP2/CDC14A/BIRC3/CACNA1S/NLRP3/NDC80/TIAM1/CCNE2/ITGB2/UBE2G2/CERS6/SLC6A12/RASGRP3/CENPH/ITPR1/EPS8/PPFIA4/PRKCB/ARHGEF2/TMPO/SLC29A1/LRP1/ZNF703/NEDD4/RUFY1/TJP3/PSRC1/APP/RRAS/LGMN/MAP4K5/OAS2/IFT140/HERPUD1/TNFRSF13B/AURKB/OMA1/EIF4E3/KIF20B/LYST/METRNL/CADM3/ACER3/GATM/RAD51D/TBC1D16/AKT1/CDYL2/GAB2/NSMAF/NRROS/GCNT2/CD81/MAPK11"
